Track	Artist	Lyrics	Date	Gold	K1	K2	K3	L1	L2	L3	Sim K1	Sim K2	Sim K3	Sim L1	Sim L2	Sim L3
Maureen	Sade	MaureenIt's hard to explainNever gonna see you againYou'll never meet my new friendsMaureen I miss youI just can't explainNever gonna see you againI wish you could meet my new friendsWalking along the subway listening toLoving you is easy acapellaYou were a souped up car in that rent a go cart townAnd I miss youMaureenWe're as thick as thievesMaureen MaureenRemember when my mother said to meSade don't you come home too lateTill you're back I stay awakeAnd MaureenWith the boys you can tell at a glanceYou'd say he looks goodLet's hope he can danceWicky wacky party to theWhere are we going tonightAnd what will you be wearingM-m-m-mShone like a souped up car rent a go cart townAnd I miss you Maureen I miss you girlAh-ba ba-ba ba ba ba ba ba ba baAh-ba ba-ba ba ba ba ba ba ba baYou were my best friendNever gonna see you again MaureenAnd you'll never meet my new friendsYou really were a pearl in my world MaureenMaureenIt's hard to explainYou never call 'round to see me againNever meet my new friendsNever meet my new friends(Ooh... ooh... ooh...)Never meet my new friends(Ooh... ooh... ooh...)Never meet my new friends(Ooh... ooh... ooh...)Never meet my new friends(Ooh... ooh... ooh...)Never meet my new friends(Ooh... ooh... ooh...)Never meet my new friends(Ooh... ooh... ooh...)Never meet my new friends(Ooh... ooh... ooh...)Never meet my new friends(Ooh... ooh... ooh...)Never meet my new friends(Ooh... ooh... ooh...)Never meet my new friends(Ooh... ooh... ooh...)Never meet my new friends	Yes	Friendship	Friendship	Love	Nostalgia	Friendship	Friendship	Friendship	1.0	0.59	0.33	1.0	1.0	1.0
Way Back	TLC	It's been a long, long time comin'Ain't seen you aroundTime keeps on passin'But you still my bitchCan't tell us nothin'And it's nothin' but a thing, to pick up where we left off (Yeah)Don't you ever thinkBack on all that other shit we went throughYou know I remember (Yeah)Don't you ever wishOne day we could reminisceIt feels like, we were just together'Cause we go way backLike Prince and Marvin GayeLike South side on SundaySome things don't ever changeYeah, you and me'Cause we go way backJames Brown and Michael JLike them high school partiesSome things don't ever changeYeah, you and meWe go way backTwistin' up a twenty sackFishin', listen, reminiscin' 'bout the days of way backAye, where the ladies at?I need a fine one, top designerBaby, can you help find one?A real one, not a phony, I wanna homieNever leave me lonely, be my tenderoniOne hour photo together, take a few flicks togetherThat'll last foreverWhether, we do, you do? Me tooSee through it all, now creep with the DoggDon't let the rain drops stop ya, I got yaThis is so evolutionary properNow what the future holds, no one knowsBut the past is a blast, game overloadIt's like Good Times, my favorite episodesI'm just the same OG, givin' y'all a little TLCI'd like to think, when we were growin' (Growin')And shit got tough, we kept it goin' (Goin')Out in the streets, no signs of slowin' (Yeah)It's still nothin' but a thing, to pick up where we left off (Yeah)Don't you ever thinkBack on all that other shit we went throughYou know I remember (Yeah)Don't you ever wishOne day we could reminisceIt feels like, we were just together'Cause we go way backLike Prince and Marvin GayeLike South side on SundaySome things don't ever changeYeah, you and me'Cause we go way backJames Brown and Michael JLike them high school partiesSome things don't ever changeYeah, you and meWe go way backWay back, way back, way back, way back (Yeah)'Cause we go way backWay back, way back, way back, way backWe go way backLike Prince and Marvin GayeLike South side on SundaySome things don't ever change(Some things will never change)James Brown and Michael JLike them high school partiesSome things don't ever changeYeah, you and me	Yes	Friendship	Friendship	Nostalgia	Nostalgia	Love	Friendship	Friendship	1.0	0.33	0.33	0.59	1.0	1.0
In Bloom	Nirvana	Sell the kids for foodWeather changes moodsSpring is here againReproductive glandsHe's the oneWho likes all our pretty songsAnd he likes to sing alongAnd he likes to shoot his gunBut he knows not what it meansKnows not what it meansAnd I say he's the oneWho likes all our pretty songsAnd he likes to sing alongAnd he likes to shoot his gunBut he knows not what it meansKnows not what it meansAnd I say yeahWe can have some moreNature is a whoreBruises on the fruitTender age in bloomHe's the oneWho likes all our pretty songsAnd he likes to sing alongAnd he likes to shoot his gunBut he knows not what it meansKnows not what it meansAnd I say he's the oneWho likes all our pretty songsAnd he likes to sing alongAnd he likes to shoot his gunBut he knows not what it meansKnows not what it meansAnd I say yeahHe's the oneWho likes all our pretty songsAnd he likes to sing alongAnd he likes to shoot his gunBut he knows not what it meansKnows not what it meansAnd I say he's the oneWho likes all our pretty songsAnd he likes to sing alongAnd he likes to shoot his gunBut he knows not what it meansKnows not what it meansKnows not what it meansKnows not what it meansAnd I say yeah	Yes	Friendship	Depression	Rebellion	Rebellion	Drugs	Youth	Ambiguity	0.31	0.32	0.32	0.17	0.37	0.29
Bobby Jean	Bruce Springsteen	Two, three, fourWell, I came by your house the other dayYour mother said you went awayShe said there was nothing that I could have doneThere was nothing nobody could sayThat me and you, we've known each other ever since we were sixteenI wished I would have knownI wished I could have called youJust to say goodbye, Bobby JeanNow, you've hung with me when all the othersTurned away, turned up their noseWe liked the same music, we liked the same bandsWe liked the same clothesYeah, we told each other that we were the wildestThe wildest things we'd ever seenNow I wished you would have told meI wished I could have talked to youJust to say goodbye, Bobby JeanNow, we went walking in the rainTalking about the pain that from the world we hidNow there ain't nobody, nowhere, nohowGonna ever understand me the way you didBut maybe you'll be out there on that road somewhereSome bus or train that's traveling alongIn some motel room, there'll be a radio playingAnd you'll hear me sing this songWell, if you do, you'll know I'm thinking of youAnd all the miles in betweenAnd I'm just calling one last timeNot to change your mind, but just to say I miss you, babyGood luck, goodbye, Bobby Jean	Yes	Friendship	Friendship	Friendship	Friendship	Friendship	Friendship	Loss	1.0	1.0	1.0	1.0	1.0	0.21
Grigio Girls	Lady Gaga	"was 23She was 35I was spiralin' outAnd she was so aliveA Texas girl real strongTaught me this drunk songSo when I start to bawlShe says, ""Let your teardrops fall""On the PinotPinot Grigio girlsPour your heart outWatch your blues turn goldAll the PinotPinot Grigio girlsKeep it real cold'Cause it's a fired up worldOoh-oh-ooh-ohMake it all make senseOoh-oh-ooh-ohDoes it all make sense?Ooh-oh-ooh-ohMake it all make senseSisters never pack upWe always run back, loveSeven years agoI said you'd make itSonja was Joanne's friendTough girls on the mendSo when I'm feelin' smallI toss that cork and callOn the PinotPinot Grigio girlsPour your heart outWatch your blues turn goldAll the PinotPinot Grigio girlsKeep it real coldCause it's a fired up worldOoh-oh-ooh-ohMake it all make senseOoh-oh-ooh-ohMake it all make senseOoh-oh-ooh-ohDoes it all make sense?So we'll turn on a bacheloretteDye Ashley's hair redAnd then we'll have our sixthSpice Girl in this bitch!On the PinotPinot Grigio girlsPour your heart outWatch your blues turn goldAll the PinotPinot Grigio girlsKeep it real coldCause it's a fired up worldAll the PinotPinot Grigio girlsGather 'round nowWatch your blues turn goldAll the PinotPinot Grigio girlsKeep it real coldCause it's a fired up world (ooh-oh-ooh-oh)"	Yes	Friendship	Friendship	Friendship	Friendship	Friendship	Friendship	Friendship	1.0	1.0	1.0	1.0	1.0	1.0
Best Friends	The Weeknd	Yeah, yeah, yeah, yeahYeah, yeah, yeah, yeahOh, oh, ohHeyYeah, yeah, yeah, uhYeah, yeah, yeah, yeahOh, what we gotBaby, what we got is secureBeen a part of toxic loveIt tore us apartThings you want, I'm not looking forYou're my best friend nowYou're my best friend nowOh, I don't want to be responsibleFor your heart if we fall'Cause I'll get clumsy and tear it apartI love you soBut we can't get closeYou're my best friend nowYou're my best friend nowOh, I love it when we climax (climax)And I would never burn youI could never hurt youIf we do it like thatDon't try to take it furtherFocus on the friendshipGet a little sidetrackedCatching little feelingsThought we had arrangementsThought you weren't like thatYeah, I thought you weren't like thatOh, friends no moreSex as friends no moreYou don't wanna have sex as friends no moreFriends no moreOoh, friends no more, uhSex as friends no moreYou don't wanna have sex as friends no moreOhOh, what we got (oh yeah)Baby, what we got is secureBeen a part of toxic loveIt tore us apart (oh yeah)Things you want, I'm not looking for (I'm not searching, baby)You're my best friend now (oh, baby)You're my best friend nowOh, I don't want to be responsibleFor your heart if we fall (oh no)'Cause I'll get clumsy and tear it apartI love you so (oh yeah)But we can't get closeYou're my best friend now (best friend now)You're my best friend now (best friend now)Dawn FM (radio)	No	Friendship	Friendship	Friendship	Friendship	Friendship	Friendship	Relationship	1.0	1.0	1.0	1.0	1.0	0.7
Blue Banisters	Lana del Rey	"There's a picture on the wall of me on a John DeereJenny handed me a beer, said, ""How the hell did you get there?""OklahomaMm, mmThere were flowers that were dry, sittin' on the dresserShe asked me where they're from, I said, ""A place I don't remember""Oklahoma (oh)Jenny jumped into the pool, she was swimmin' with Nikki LaneShe said, ""Most men don't want a woman with a legacy, it's of age""She said, ""You can't be a muse and be happy, tooYou can't blacken the pages with Russian poetry and be happy""And that scared me'Cause I met a man whoSaid he'd come back every MayJust to help me if I'd paintMy banisters blueBlue banisters, oohSaid he'd fix my weathervaneGive me children, take away my painAnd paint my banisters blueMy banisters blueThere's a hole that's in my heart all my women try and healThey're doin' a good job convincin' me that it's not realIt's heat lightningOh, oh'Cause there's a man that's in my past, there's a man that's still right hereHe's real enough to touch and in my darkest nightsHe's shinin'OohJenny was smokin' by the pool, we were writin' with Nikki LaneI said, ""I'm scared of the Santa Clarita Fires, I wish that it would rain""I said, ""The power of us three can bring absolutely anythingExcept that one thing, the diamonds, the rust, and the rainThe thing that washes away the pain""But that's okay, 'causeNow when weather turns to MayAll my sisters come to paintMy banisters greenMy blue banisters greyTex and Mex are in the BayChucky's makin' birthday cakeChickens runnin' barefeet, there's a baby on the wayAnd now my blue banisters are green and greyAh-ahSummer comes, winter goesSpring, I skip, God knowsSummer comes, winter goesSpring, I sleep, Heaven knowsEvery time it turns to MayAll my sisters fly to meTo paint, paint"	No	Friendship	Heartache	Longing	Reflection	Heartache	Friendship	Nostalgia	0.4	0.47	0.36	0.4	1.0	0.33
Eddie	Red Hot Chili Peppers*	"Sailing the Sunset Strip, I'm a bit of a kingGranny would take a trip, I've been bending the stringsGot hammers in both my hands, such a delicate touchThey say I'm from Amsterdam, does that make me Dutch?Please don't remember me for what I did last night, ohPlease don't remember meLord and childrenPlease don't remember me, it's only 1980It's only 1983Smoking the reefer, feeling my own lightMy brother's a keeper, I married a TV wifeThe devil's Camaro, parked in the high school lotA little sombrero 'cause teacher was way too hotPlease don't remember me for what I did last night, ohPlease don't remember meListen Lord nowPlease don't remember me, it's only 1980It's only 1983Tell my love ""But leave me never""Can't complain about the weatherSnowing at the rainbow, have a ballCut my teeth down at the WhiskeyGTO's tried to kiss meOne more song, they have seen it allPlease don't remember me for what I did last night, ohPlease don't remember meWhat'd I say Lord?Please don't remember me, it's only 1980It's only 1983Please don't remember me for what I did with DavidYou know I'm talkin' David LeeAm I ready?Please don't remember me, for what I did last night, ohI guess I played a flying V"	No	Friendship	Drugs	Introspection	Energy	Drugs	Friendship	Nostalgia	0.17	0.31	0.19	0.17	1.0	0.33
24	Kanye West	Dear God, make it alright, only You can make it alrightDear Lord, make it alright, nothing else ever feels rightDear God, make it alright, nothing else ever feels rightNah, nah, nah, nothing else ever feels rightExhausted, never the right time to goGod, I done my time to goNever the right time to goGod loves youLove when you choose your stepsGotta make it right before you leftGotta make it right before you–Everybody wanna feel like everything gon' be rightNew me over the old meLet it out, let it all outGod, please set it alrightMake it right, now that feels rightNothing else ever feels rightNothing else ever feels rightSave me, yeah, make it alrightBow our heads 'cause it's alright, alright, mmh24 hours, 24 candles, 24 hoursYeah, yeahYeah, yeah, yeah, yeah, yeahThrow our hands up in the skyYes, Lord, we put 'em highYeah, yeahYeah, yeahYeah, know you alive and God's not finishedKnow you alive and God's step's finishedBut know you alive and God's not finishedWe know you alive and God, ayThe Devil's a lie and now he fini–The Devil's a lie and now he fi–Devil's a lie and now he finis–Throw our hands up in the skyYes, Lord, we put 'em highWe gonna be okay, we gonna be okayWe gonna be okay, we gonna be okayWe gonna be okay, we gonna be okayGod's not finished, God's not finishedGod's not finished, God's not finishedGod's not finished, God's not finishedGod's not finished, God's not finishedNow we gon' be okay, we gonna be okayWe gonna be okay, we gonna be okayGod's not finished, God's not finishedGod's not finishedWe gonna be okayThrow our hands up in the skyYes, Lord, we put 'em highOh-oh-oh-oh, oh-oh	No	Friendship	Drugs	Self-reflection	Self-reflection	Religion	Friendship	Faith	0.17	0.38	0.38	0.38	1.0	0.51
Eyes Closed	Ed Sheeran	I know it's a bad ideaBut how can I help myself?Been inside for most this yearAnd I thought a few drinks, they might helpIt's been a while, my dearDealin' with the cards life dealtI'm still holdin' back these tearsWhile my friends are somewhere elseI pictured this year a little bit different when it hit FebruaryI step in the bar, it hit me so hard, oh, how can it be this heavy?Every song reminds me you're gone, and I feel the lump form in my throat'Cause I'm here aloneJust dancin' with my eyes closed'Cause everywhere I look, I still see youAnd time is movin' so slowAnd I don't know what else that I can doSo I'll keep dancin' with myEye-eye-eye-eyesEye-eye-eye-eyes closedEye-eye-eye-eyesSo I'll keep dancin' with my-Delusion is here againAnd I think you'll come home soonA word brings me right back inThen it's only me that's in this roomI guess I could just pretendThe colours are more than blueBut I lost more than my friendI can't help but missin' you (yeah, yeah, yeah)I pictured this month a little bit different, no one is ever readyAnd when it unfolds, you get in a hole, oh, how can it be this heavy?Everything changes, nothing's the same, except the truth is now you're goneAnd life just goes onSo I'm dancin' with my eyes closed'Cause everywhere I look, I still see youAnd time is movin' so slowAnd I don't know what else that I can doSo I'll keep dancin' with myEye-eye-eye-eyesEye-eye-eye-eyes closedEye-eye-eye-eyesSo I'll keep dancin' with myEye-eye-eye-eyesEye-eye-eye-eyes closedEye-eye-eye-eyesOh, I keep dancin' with my-They're shutting the bar, they're cleanin' the floor, and everyone is already homeBut I'm on my ownStill dancin' with my eyes closed'Cause everywhere I look, I still see youTime is movin' so slowAnd I don't know what else that I can doSo I'll keep dancin' with myEye-eye-eye-eyesEye-eye-eye-eyes closedEye-eye-eye-eyesOh, I keep dancin' with myEye-eye-eye-eyesEye-eye-eye-eyes closedEye-eye-eye-eyesOh, I keep dancin' with my-	No	Friendship	Heartache	Self-reflection	Intimacy	Heartache	Friendship	Sadness	0.4	0.38	0.58	0.4	1.0	0.48
Candy Shop	50 Cent	YeahUh-huhSo seductiveI'll take you to the candy shopI'll let you lick the lollipopGo 'head girl don't you stopKeep going 'til you hit the spot, whoaI'll take you to the candy shop (yeah)Boy, one taste of what I got (uh-huh)I'll have you spending all you got (come on)Keep going 'til you hit the spot, whoaYou could have it your way, how do you want it?You gon' back that thing up, or should I push up on it?Temperature rising, okay, let's go to the next levelDance floor jam-packed, hot as a tea kettleI break it down for you now, baby it's simpleIf you be a nympho, I'll be a nymphoIn the hotel, or in the back of the rentalOn the beach or in the park, it's whatever you intoGot the magic stick, I'm the love doctorI ain't finished teaching you 'bout how sprung I got yaWanna show me how you work it baby? No problem, get on topThen get your bounce around, like a little riderI'm seasoned vet when it come to this shitAfter you work up a sweat you can play with this stickI'm trying to explain, baby, the best way I canI melt in your mouth girl, not in your hands, ha-haI'll take you to the candy shopI'll let you lick the lollypopGo 'head girl don't you stopKeep going 'til you hit the spot, whoaI'll take you to the candy shopBoy one taste of what I gotI'll have you spending all you gotKeep going 'til you hit the spot, whoaGirl what we do, what we doAnd where we do, and where we doThe things we do, things we doAre just between me and you, yeah, oh yeahGive it to me baby, nice and slowClimb on the top, ride like you in a rodeoYou ain't never heard a sound like this before'Cause I ain't never put it down like thisAs soon as I come through the door, she get to pulling on my zipperIt's like it's a race who could get undressed quickerIsn't it ironic how erotic it is to watch 'em in thongs?Had me thinking 'bout that ass after I'm goneI touch the right spot at the right timeLights on, or lights off, she like it from behindSo seductive you should see the way she whineHer hips in slow mo' on the floor when we grindLong as she ain't stopping, homie I ain't stoppingDripping wet with sweat, man it's on and poppingAll my champagne campaign, bottle after bottle, it's onAnd we gon' sip 'til every bubble in every bottle is goneI'll take you to the candy shopI'll let you lick the lollipopGo 'head girl don't you stopKeep going 'til you hit the spot, whoaI'll take you to the candy shopBoy, one taste of what I gotI'll have you spending all you gotKeep going 'til you hit the spot, whoaI'll take you to the candy shopI'll let you lick the lollypopGo 'head girl don't you stopKeep going 'til you hit the spot, whoaI'll take you to the candy shopBoy, one taste of what I gotI'll have you spending all you gotKeep going 'til you hit the spot, whoa	Yes	Sex	Sex	Sex	Seduction	Sex	Sex	Seduction	1.0	1.0	0.5	1.0	1.0	0.5
